target_market,model,yearly_median_min,yearly_median_max
exacta,harville,0.110429040913,0.116430886899
exacta,main,0.0521123707014,0.0603614782002
quinella,harville,0.106781862674,0.114726571547
quinella,main,0.0608496028048,0.0697756678094
trio,harville,0.145816994776,0.16509756531
trio,main,0.0382956572111,0.0500074147675
win,harville,7.8062556419e-17,9.71445146547e-17
win,main,0.0659182356425,0.0727770468559
