target_market,n_races,median_main_minus_harville_tv,ci_low,ci_high
win,3338,0.0678601097491,0.0666598195743,0.0691480256812
exacta,3338,-0.0572785168455,-0.0585771117015,-0.0562372114016
quinella,3338,-0.0463847476249,-0.0478249654995,-0.0452384519382
trio,3338,-0.107681973191,-0.109558657043,-0.105948771043
