target_market,model,n_races,n_race_dates,median_tv,ci_low,ci_high
win,main,3338,979,0.0678601097491,0.0666598195743,0.0691480256812
win,harville,3338,979,9.02056207508e-17,8.84708972748e-17,9.19403442268e-17
exacta,main,3338,979,0.0555015998124,0.0549476882178,0.0561424209476
exacta,harville,3338,979,0.111964893055,0.110954163685,0.113122439328
quinella,main,3338,979,0.0636531247876,0.0628949949176,0.0646971342133
quinella,harville,3338,979,0.109100529262,0.108107281001,0.110421246812
trio,main,3338,979,0.0443831575508,0.0436756480613,0.0449810935194
trio,harville,3338,979,0.152002376873,0.150080647923,0.153364098395
