race_id,race_date,target_market,observed_tv,target_turnover_won,trifecta_turnover_won,noise_base_per_sqrt_won,break_even_u_won,noise_tv_u_1000,noise_tv_u_10000,noise_tv_u_50000,noise_tv_u_100000
2016-07-02_1_06,2016-07-02,exacta,0.0549346180757,772303000,344183600,0.000151578588905,131345.89358,0.00479333585455,0.0151578588905,0.0338940028726,0.0479333585455
2016-07-02_1_10,2016-07-02,exacta,0.0626003266577,781727900,339328100,0.000156749946682,159491.813164,0.00495686854625,0.0156749946682,0.035050353625,0.0495686854625
2016-07-02_2_01,2016-07-02,exacta,0.179064637155,18230000,17453500,0.000783793231951,52193.5258602,0.0247857182759,0.0783793231951,0.175261494695,0.247857182759
2016-07-02_2_02,2016-07-02,exacta,0.0443550785372,333646200,206590600,0.000204792410365,46909.3040699,0.00647610464269,0.0204792410365,0.0457929750852,0.0647610464269
2016-07-02_2_04,2016-07-02,exacta,0.254771952042,27450600,24111000,0.000753561201109,114305.247906,0.0238296975184,0.0753561201109,0.168501407089,0.238296975184
2016-07-02_2_05,2016-07-02,exacta,0.0338123004853,594361400,298362800,0.000158545421738,45482.259164,0.00501364645283,0.0158545421738,0.0354518340527,0.0501364645283
2016-07-02_2_06,2016-07-02,exacta,0.194998456394,39423400,27422100,0.000534908677713,132893.292114,0.0169152976176,0.0534908677713,0.119609216512,0.169152976176
2016-07-02_2_08,2016-07-02,exacta,0.0504913244132,764401900,346552600,0.000131145685847,148226.381894,0.0041471907258,0.0131145685847,0.0293250668509,0.041471907258
2016-07-03_1_03,2016-07-03,exacta,0.0438365044022,481854300,267979800,0.000181182359671,58538.2867829,0.00572948928403,0.0181182359671,0.0405136072547,0.0572948928403
2016-07-08_2_01,2016-07-08,exacta,0.0449220045644,296726900,179679200,0.000212218221553,44807.7270229,0.00671092941097,0.0212218221553,0.0474534369456,0.0671092941097
2016-07-08_2_05,2016-07-08,exacta,0.0493186809877,87824300,199880900,0.000261149846596,35665.0925961,0.00825828325848,0.0261149846596,0.0583948809303,0.0825828325848
2016-07-08_2_06,2016-07-08,exacta,0.0406750208144,414309500,226596300,0.000184552063939,48575.5531406,0.00583604868933,0.0184552063939,0.0412670960356,0.0583604868933
2016-07-08_2_08,2016-07-08,exacta,0.155704849788,28993000,18313000,0.000732827133238,45144.1206542,0.023174028722,0.0732827133238,0.163865128568,0.23174028722
2016-07-08_3_05,2016-07-08,exacta,0.0525951645303,466663500,243194800,0.000139453837176,142242.932976,0.00440991753927,0.0139453837176,0.0311828259649,0.0440991753927
2016-07-08_3_06,2016-07-08,exacta,0.0593017441645,357121100,203258500,0.000239358162861,61381.6343843,0.00756916971194,0.0239358162861,0.0535221123127,0.0756916971194
2016-07-09_1_02,2016-07-09,exacta,0.0682494545585,494489200,276093900,0.000195443317259,121942.956197,0.00618046035997,0.0195443317259,0.0437024543139,0.0618046035997
2016-07-09_2_06,2016-07-09,exacta,0.2155263389,32405400,29132700,0.000618329718032,121495.575765,0.0195533025395,0.0618329718032,0.138262728203,0.195533025395
2016-07-10_1_01,2016-07-10,exacta,0.0217381022184,421099900,218505800,0.000130208404987,27871.8127263,0.00411755130255,0.0130208404987,0.0291154844792,0.0411755130255
2016-07-10_1_09,2016-07-10,exacta,0.0649389667251,952669700,404870400,0.000110260567929,346872.84147,0.00348674530761,0.0110260567929,0.0246550125128,0.0348674530761
2016-07-10_1_11,2016-07-10,exacta,0.0569804766884,1301728100,428551200,0.000105083677516,294023.220594,0.00332303765857,0.0105083677516,0.0234974246251,0.0332303765857
2016-07-10_3_01,2016-07-10,exacta,0.0419813374245,704131100,373202200,0.000128787458934,106258.918507,0.00407261704296,0.0128787458934,0.0287977512825,0.0407261704296
2016-07-10_3_05,2016-07-10,exacta,0.0712978458059,821535500,392929200,0.000132121179697,291211.104094,0.0041780385499,0.0132121179697,0.0295431939069,0.041780385499
2016-07-15_2_03,2016-07-15,exacta,0.0540911145673,362778100,203000300,0.000197894380135,74711.0669043,0.00625796977374,0.0197894380135,0.0442505286347,0.0625796977374
