year,n_races,capped_races,share,ci_low,ci_high
2016,1539,17,0.0110461338532,0.00641025641026,0.0163266639118
2017,2715,31,0.0114180478821,0.0076169749728,0.0155555555556
2018,2703,20,0.00739918608953,0.00445930880713,0.010576221736
2019,2673,31,0.0115974560419,0.00781540751768,0.0156833457804
2022,2356,16,0.00679117147708,0.00382003395586,0.0101479915433
2023,2435,10,0.0041067761807,0.00164001640016,0.00700741962077
2024,2454,9,0.00366748166259,0.00162074554295,0.00613246116108
2025,2426,8,0.00329760923331,0.000824402308326,0.00625521267723
