target_market,n_races,raw_mean_improvement,raw_mean_ci_low,raw_mean_ci_high,raw_median_improvement,raw_median_ci_low,raw_median_ci_high,calibrated_mean_improvement,calibrated_mean_ci_low,calibrated_mean_ci_high
win,3338,-0.000427601674218,-0.007123675875,0.00636476338052,0.0166436618389,0.00843408719616,0.021865348405,0.00510750226813,-0.015515484728,0.0257110243255
exacta,3338,0.0316239535802,0.0195518495225,0.0438815994218,0.027442648638,0.0136435942591,0.0446577351495,0.0276254266313,0.00675619750826,0.0480079235815
quinella,3338,0.0280802792636,0.0172324622965,0.0391883746418,0.013152000969,0.00274572856968,0.0226125033942,0.0233013189721,0.00262786391934,0.0434524434125
trio,3338,0.076241616151,0.0605188951248,0.0922162605949,0.0157454358303,-0.000128788747108,0.0274946820667,0.0420666858498,0.0191511850943,0.0650555692708
