target_market,model,n_races,median_tv_lower,lower_ci_low,lower_ci_high,median_tv_upper,upper_ci_low,upper_ci_high
win,main,19301,0.0602684828053,0.0596634718416,0.0608776372373,0.0862168536322,0.0855021644357,0.0869594797215
win,harville,19301,0,0,0,0.00941767992711,0.00938285013808,0.00944804344444
exacta,main,19301,0.0567009077707,0.0563548312649,0.0570462639187,0.070302765347,0.0697965108378,0.0708232812638
exacta,harville,19301,0.119453786665,0.118710496377,0.120114819228,0.123901758371,0.123116424488,0.12457070377
quinella,main,19301,0.0638200010371,0.0634064811763,0.0642359172314,0.0809295044289,0.080262914264,0.0814725983762
quinella,harville,19301,0.115491784859,0.114571177508,0.116349333313,0.122581860613,0.12160808721,0.123399765352
trio,main,19301,0.0453555582359,0.0450046556362,0.045699468566,0.058292463655,0.0577554352239,0.0588229184502
trio,harville,19301,0.164729688601,0.163692540988,0.165881154115,0.16872365721,0.167681557715,0.169793369876
