validation_year,n_training_races,n_training_horses,stage2_intercept,stage2_field_slope,stage2_alpha_n10,stage3_intercept,stage3_field_slope,stage3_alpha_n10,win_probability_support_min,win_probability_support_max,prelec_alpha,prelec_beta,power_exponent,exacta_training_pool_level,trifecta_training_pool_level,quinella_training_pool_level,trio_training_pool_level
2016,17762,185604,-0.30674298747155315,-0.1636015905740302,0.7358396966271896,-0.5541947029272485,-0.2792795219485833,0.574534746101802,0.0024292800585992316,0.5754981219207933,0.19671526066903697,9.03218449920376,0.504007204812509,1.3698691054108076,1.3698626839355978,1.3698717320542109,1.3698676297858703
2017,16586,173010,-0.3167551895359573,-0.16402424792782938,0.7285090799428406,-0.567742337623333,-0.3274906832460697,0.5668036465434936,0.001678982876396138,0.5720042837462295,0.1888846576785458,9.430474229186222,0.489955118353357,1.3698603431818708,1.3698621516645244,1.3698864060719536,1.3698728602601582
2018,16598,173468,-0.30650115007270784,-0.20180792028303182,0.7360176717050365,-0.5486231244290212,-0.27730207030961074,0.5777447456179493,0.0013941702618969652,0.5736894272624,0.17980614409381962,10.002290928859983,0.4810623342192963,1.3698665007613116,1.36986297429138,1.369890154742688,1.3698740179465267
2019,16628,172933,-0.2960991276065477,-0.16457490348378687,0.7437137018068716,-0.5573159834133443,-0.33264622513814235,0.572744257771989,0.0020590951664699567,0.5723168918263297,0.16400674028424445,10.919351434976303,0.4341193580800256,1.3698634387186617,1.3698618103181404,1.3698804872795147,1.3698699501815903
2022,16945,176426,-0.29394550085331383,-0.10558900942894879,0.7453171094829317,-0.5461011508311766,-0.2936846310541221,0.5792036414878668,0.001615171451588103,0.5769816129634452,0.18822022191053445,9.46366987342579,0.4874159568908506,1.3698661530004488,1.3698615559275895,1.3698732174673318,1.3698667262003905
2023,16866,175978,-0.30804183928759893,-0.16009087677148495,0.7348845703189529,-0.5712875189973129,-0.3252291620613246,0.5647977824898645,0.0014196241356419798,0.585220426886257,0.17844652278336254,10.028392485430146,0.47155544261731014,1.3698637058600855,1.36986199157929,1.369871383742184,1.3698720846616945
2024,16847,176057,-0.3073148965315876,-0.1315514124729176,0.7354189835542317,-0.5592691634210624,-0.30095924289619,0.5716266769117594,0.001376519798386419,0.5794373528915239,0.17274084855853045,10.425230168516702,0.46518851057193755,1.3698672744651175,1.3698623878405147,1.3698821250535875,1.3698688995313015
2025,16875,176184,-0.2975228241881299,-0.13789735051683524,0.7426556325154677,-0.5570654676081067,-0.30937236639716725,0.5728877572346112,0.001344990540230387,0.577769495224724,0.16756279669915372,10.822760373023703,0.4616718252508765,1.369864354255947,1.369863026611511,1.3698844675923265,1.3698662701071596
