target_market,weighting,n_races,n_dates,n_combinations,alpha_baseline_field_size,beta,beta_se_race_cluster,beta_se_race_date_two_way,beta_ci_low_race_cluster,beta_ci_high_race_cluster,beta_ci_low_race_date_two_way,beta_ci_high_race_date_two_way,calibration_r2,median_race_calibration_intercept,median_race_calibration_slope,median_race_calibration_r2,share_race_slope_0_9_1_1
win,race_equal,3321,978,29147,0.0490140246425,0.894577052086,0.00165855954379,0.00177375792357,0.89132627538,0.897827828792,0.891100486556,0.898053617616,0.937316833078,-0.181146900701,0.901126389687,0.968118571312,0.486299307438
win,combination_equal,3321,978,29147,0.0504776233466,0.895176406511,0.0015922067782,0.0017239003422,0.892055681226,0.898297131796,0.89179756184,0.898555251182,0.937163161459,-0.181146900701,0.901126389687,0.968118571312,0.486299307438
exacta,race_equal,3321,978,231174,0.139209856324,1.00960104382,0.00109007302979,0.00125027453464,1.00746450069,1.01173758696,1.00715050574,1.01205158191,0.965362495901,0.0218713953885,1.00069200738,0.98302485926,0.927130382415
exacta,combination_equal,3321,978,231174,0.135701791602,1.00872903516,0.000998514176089,0.00117486597115,1.00677194737,1.01068612294,1.00642629785,1.01103177246,0.965944658909,0.0218713953885,1.00069200738,0.98302485926,0.927130382415
quinella,race_equal,3321,978,115587,0.0718326037656,0.956391537256,0.00129325710642,0.00160091603304,0.953856753328,0.958926321185,0.953253741832,0.959529332681,0.963426099773,-0.125530875075,0.953627431125,0.981982087627,0.796446853357
quinella,combination_equal,3321,978,115587,0.0881627295219,0.961551970087,0.00119212375788,0.00149121669044,0.959215407521,0.963888532652,0.958629185374,0.9644747548,0.962915499277,-0.125530875075,0.953627431125,0.981982087627,0.796446853357
trio,race_equal,3321,978,273406,0.042863051616,0.980719379877,0.000946795152119,0.00119352063407,0.978863661379,0.982575098376,0.978380079435,0.98305868032,0.977454968595,-0.0380650550602,0.985226204933,0.98819258548,0.940981632039
trio,combination_equal,3321,978,273406,0.0706315998781,0.990066804964,0.000805249721891,0.00100477546589,0.988488515509,0.991645094419,0.988097445051,0.992036164878,0.977332218094,-0.0380650550602,0.985226204933,0.98819258548,0.940981632039
