panel,target_market,model,n_races,median_tv,median_tv_ci_low,median_tv_ci_high,median_js,median_js_ci_low,median_js_ci_high,median_mae,median_r2,share_r2_gt_0_8,median_rmsle,median_clr_distance,median_correlation,median_cosine
A,exacta,harville,3338,0.111964893055,0.111154655395,0.112994999468,0.0100973698215,0.00992552304366,0.0102373662863,0.00323534398435,0.905732688709,0.854403834632,0.390571828887,0.373357501222,0.960469722337,0.975470450166
A,exacta,main,3338,0.0555015998124,0.055048535101,0.0560482995592,0.00238408377365,0.00234225540251,0.00242727633257,0.00159497616054,0.967437522947,0.994607549431,0.151838941701,0.145514207746,0.988416434253,0.992309985252
A,exacta,other_race,3336,0.585083625742,0.580477793962,0.590705140859,0.240386500354,0.236278154845,0.244777506713,0.016565620413,-1.1194140109,0,1.52700768573,1.49937298696,-0.0490574668632,0.355736437373
A,exacta,permutation,3338,0.481191171855,0.477137167339,0.485044258067,0.166746662271,0.163539331486,0.168771778379,0.0139662294867,-0.263653505546,0,1.3340700143,1.2579855336,-0.0133034807671,0.536415104432
A,exacta,uniform,3338,0.436328856655,0.432802563755,0.439032884344,0.133224721728,0.131193758504,0.135320426941,0.0127513587983,0,0,1.26389231105,1.10044545632,5.08372463724e-17,0.628428891798
A,quinella,harville,3338,0.109100529262,0.108334100317,0.110356732474,0.00944848001493,0.00928184404028,0.00965096744162,0.00635907911351,0.89464333612,0.79089275015,0.390106847095,0.352907895718,0.964486465468,0.977121286212
A,quinella,main,3338,0.0636531247876,0.0630015007173,0.0645939587878,0.00308236124265,0.00301450414828,0.00315509988934,0.00369164531376,0.957784653517,0.98621929299,0.174742194692,0.156361337177,0.986679029341,0.991047756803
A,quinella,other_race,3336,0.56121267721,0.555616292661,0.566304996041,0.222077215594,0.218882346876,0.22600842196,0.0316919744847,-1.20016046274,0,1.47652216294,1.45277635212,-0.0421267413733,0.394028286604
A,quinella,permutation,3338,0.4357074962,0.4322930111,0.440516932758,0.13606234895,0.133680652649,0.138785937928,0.0254727098037,-0.162648638735,0,1.22048856206,1.12838591937,-0.0211532578816,0.608139473166
A,quinella,uniform,3338,0.41321712345,0.409661549511,0.415815522221,0.119691214962,0.118161461593,0.121597445937,0.0241901938525,0,0,1.18741680517,1.04924723154,1.59881488925e-17,0.656678246514
A,trio,harville,3338,0.152002376873,0.150345463004,0.153320109788,0.0187733479353,0.0183940668848,0.0191909491157,0.00390920909522,0.821161968578,0.571899340923,0.657673164929,0.543803000649,0.953579713644,0.963568942001
A,trio,main,3338,0.0443831575508,0.0438823846558,0.044862194793,0.00157076300588,0.00154118843687,0.00160675834984,0.00111664103882,0.981478268262,0.998801677651,0.138737667863,0.127228030078,0.994691068561,0.99591704123
A,trio,other_race,3336,0.601979732398,0.597296036366,0.604782493859,0.254074795147,0.2502759644,0.258040460678,0.015226114891,-1.12918904675,0.000599520383693,1.56044907132,1.53681718882,-0.0377661625316,0.31366510605
A,trio,permutation,3338,0.494924014018,0.492199006811,0.498273266228,0.177282192532,0.174843244183,0.179707278806,0.0127374400783,-0.249653393761,0,1.36733576754,1.28793319373,-0.0143215189603,0.492453451059
A,trio,uniform,3338,0.448023339253,0.444683387716,0.451040719896,0.141855020844,0.140256971405,0.143682986453,0.0114676340571,0,0,1.29462751338,1.11794074912,3.9981235122e-17,0.591928939048
A,win,harville,3338,9.02056207508e-17,8.84708972748e-17,9.15283474012e-17,1.51252272659e-17,1.39608840222e-17,1.6393328844e-17,2.04311876059e-17,1,1,2.89510744498e-16,3.14018491737e-16,1,1
A,win,main,3338,0.0678601097491,0.0666069591424,0.0691259553634,0.00346051813007,0.00335062988441,0.00357624897335,0.0151766984232,0.948127133597,0.903535050929,0.205224540938,0.18704561173,0.985400944458,0.991968329485
A,win,other_race,3336,0.464853203061,0.4590736145,0.469432094934,0.153753057977,0.150786436866,0.157191818068,0.104025418749,-1.22857328051,0.00479616306954,1.23593529712,1.22030025931,-0.0514391724021,0.56058406557
A,win,permutation,3338,0.33716464129,0.334035901977,0.340871433436,0.0802896972113,0.0789548944576,0.0816999743264,0.0764015542373,-0.0714255134195,0,0.928757365119,0.867178644857,-0.0249597661379,0.761645786429
A,win,uniform,3338,0.32959435523,0.326823712997,0.331832638048,0.0765488595665,0.0752860290431,0.0778024360781,0.0748720073773,0,0,0.919473657309,0.849663901056,6.64929395517e-17,0.775706494776
