market,any_capped,n_races,median_sum_inverse_odds,p05_sum_inverse_odds,p95_sum_inverse_odds,median_combinations,median_capped_rows
exacta,False,18720,1.3698651980139065,1.367557413232609,1.3722310170088958,90.0,0.0
exacta,True,581,1.3700408625766345,1.3649717445423972,1.3751699891021731,132.0,3.0
quinella,False,19286,1.3698801645893224,1.3650423422045668,1.3747824751516884,45.0,0.0
quinella,True,15,1.3708107057184018,1.3640781393762174,1.3774856132876114,91.0,1.0
trifecta,False,3323,1.3698622757615533,1.3695602708540773,1.3701661511194303,504.0,0.0
trifecta,True,15978,1.3749369512116592,1.369886205524244,1.4113785041790137,990.0,156.0
trio,False,15864,1.3698702674568328,1.3677878657269074,1.3719535142634334,120.0,0.0
trio,True,3437,1.3700839695947302,1.3677968748863192,1.3734505622122961,220.0,6.0
win,False,19301,1.2499296121034926,1.2357986453254994,1.264173662941876,10.0,0.0
