probability_model,stage,n_validation_races,n_validation_years,mean_log_loss,mean_brier,mean_fold_ece_10
harville,1,17745,7,1.7813807103368566,0.7615260213435469,0.004017181301715928
stage_temperature,1,17745,7,1.7813807103368566,0.7615260213435469,0.004017181301715928
harville,2,17745,7,1.9429629665142705,0.8225483154755362,0.019510159541221435
stage_temperature,2,17745,7,1.914437074948884,0.8135206629730646,0.004532102575136287
harville,3,17745,7,1.9800414254894834,0.8448531218259714,0.033275407560760105
stage_temperature,3,17745,7,1.9077514867425458,0.8229820236580725,0.005997428287469573
