validation_year,n_training_races,n_training_horses,stage2_intercept,stage2_field_slope,stage2_alpha_n10,stage3_intercept,stage3_field_slope,stage3_alpha_n10,win_probability_support_min,win_probability_support_max,prelec_alpha,prelec_beta,power_exponent,exacta_training_pool_level,trifecta_training_pool_level,quinella_training_pool_level,trio_training_pool_level
2017,1539,15776,-0.3048968034915032,-0.14361390827430165,0.7371994468753361,-0.6392689446668444,-0.5199282634082681,0.5276780449197027,1.0518664446096044e-12,0.618091755005529,0.14828299411525078,11.096842846628688,0.30119999503278566,1.369806289862981,1.3698565972845949,1.3699779687266282,1.369906525790092
2018,4254,44146,-0.25773674794659335,-0.11199603966167453,0.7727986461616414,-0.5526018582204141,-0.3318539993401094,0.5754506199597934,0.0012098617795178032,0.5992296563786372,0.15542722815198087,11.028549850792501,0.3354160413357599,1.3698662005328828,1.3698580816549475,1.3698936634035148,1.369859115554141
2019,6957,72058,-0.27264085719347536,-0.04140139893283412,0.7613661777188125,-0.5788156996129132,-0.3756731750582104,0.5605618472203049,0.0011620901298894845,0.6018916204976781,0.15718175381859198,11.003384541935272,0.3600655518488834,1.3698623581968428,1.369857290563146,1.3698659226755443,1.369852383046963
2022,9630,100505,-0.2936083390078535,-0.04747193723231924,0.7455684443428998,-0.5751650189049138,-0.32872475016473773,0.5626120195268695,0.0017292376905279582,0.6007455003026301,0.16263178894297844,10.950695948728791,0.41420179459843104,1.3698662005328828,1.3698612136395218,1.369867939376226,1.369857025512829
2023,11986,125459,-0.307196201868343,-0.11691965129317902,0.7355062790434803,-0.5827735078175155,-0.332224743760708,0.5583476355450857,0.0014408860872267804,0.5950869040054106,0.1637319342247918,10.937778034129762,0.42203410623747994,1.3698646960354648,1.3698633213617757,1.3698781813285232,1.3698651132071857
2024,14421,150861,-0.3013726726789682,-0.11466658039739164,0.7398020173669329,-0.5612403240403392,-0.3060977427949883,0.5705010187083398,0.0013711087832116655,0.5821913088180569,0.16533553860989847,10.917005659798376,0.4402672348155575,1.3698663523485526,1.3698631739153155,1.3698871100043055,1.3698626597443397
2025,16875,176184,-0.2975228241881299,-0.13789735051683524,0.7426556325154677,-0.5570654676081067,-0.30937236639716725,0.5728877572346112,0.001344990540230387,0.577769495224724,0.16756279669915372,10.822760373023703,0.4616718252508765,1.369864354255947,1.369863026611511,1.3698844675923265,1.3698662701071596
