measure,n_races,median_exacta_gain,median_quinella_gain,median_difference,ci_low,ci_high
tv,3321,0.0573196243863,0.0463962160303,0.0104463982716,0.00975049885859,0.0111363885298
js,3321,0.0076904410045,0.0063211810936,0.00137764260606,0.00126667129247,0.00148953261155
